Jurisidction Name,Key Law Original Title,Key Law English Translated Title ,Key Law Corpus Identifier,In Effect/Repealed/NYIF (Not Yet In Force),Originally Passed ,Currently Applicable,"Sector: Public, Private, or Both (From Tables) ",First Privacy Law,This Law Promulgated,Last: Latest Revision,International Agreements (From Tables),Member (From Tables),Original Language,Document Source: Original ,Government Website? ,Document Source: English ,Translation Type ,Starting Source,Plain Text File Directory File Path ,Date of Retrieval of Original,Date of Retrieval of English Translation,Comments/Notes,
Malta,LEƒ†ISLAZZJONI SUSSIDJARJA 586.10,Processing of Data concerning Health for Insurance Purposes 2018,Malta (Processing of Data concerning Health for Insurance Purposes 2018).txt,In Effect,Malta,Malta,[Not Applicable],2001,2018,[None],ICCPR+OP; EU(M); CoE108,EU; CoE,Maltese/English,https://legislation.mt/eli/sl/586.10/mlt/pdf,Y,https://legislation.mt/eli/sl/586.9/mlt/pdf,Official Translation,https://www.dataguidance.com/notes/malta-national-gdpr-implementation-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/7/21,6/7/21,[Not Applicable],
Malta,LEƒ†ISLAZZJONI SUSSIDJARJA 586.11,Processing of Child‚Äôs Personal Data in relation to the Offer of Information Society Services 2018,Malta (Processing of Child’s Personal Data in relation to the Offer of Information Society Services 2018).txt,In Effect,Malta,Malta,[Not Applicable],2001,2018,[None],ICCPR+OP; EU(M); CoE108,EU; CoE,Maltese/English,https://legislation.mt/eli/sl/586.11/mlt/pdf,Y,https://legislation.mt/eli/sl/586.11/eng/pdf,Official Translation,https://www.dataguidance.com/notes/malta-national-gdpr-implementation-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Malta,Data Protection Act,[Not Applicable],Malta (Data Protection Act).txt,In Effect,Malta,Malta,Both,2001,2018,2018,ICCPR+OP; EU(M); CoE108,EU; CoE,English,https://idpc.org.mt/wp-content/uploads/2020/07/CAP-586.pdf,N,[Not Applicable],[Not Applicable],Greenleaf 2019,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Malta,Guidelines for Banking,[Not Applicable],Malta (Guidelines for Banking).txt,In Effect,Malta,Malta,[Not Applicable],2001,2001,[None],ICCPR+OP; EU(M); CoE108,EU; CoE,English,https://idpc.org.mt/wp-content/uploads/2020/07/Data-Protection-guidelines-for-banking.pdf,N,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/malta-national-gdpr-implementation-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Malta,Guidelines for the Maltese Gaming Industry,[Not Applicable],Malta (Guidelines for the Maltese Gaming Industry).txt,In Effect,Malta,Malta,[Not Applicable],2001,2001,[None],ICCPR+OP; EU(M); CoE108,EU; CoE,English,https://www.mga.org.mt/wp-content/uploads/MGA-IDPC-GDPR-Guidelines-May-2018.pdf,N,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/malta-national-gdpr-implementation-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Malta,Processing of Personal Data for Political Campaigning Purposes,[Not Applicable],Malta (Processing of Personal Data for Political Campaigning Purposes).txt,In Effect,Malta,Malta,[Not Applicable],2001,2001,[None],ICCPR+OP; EU(M); CoE108,EU; CoE,English,https://idpc.org.mt/wp-content/uploads/2020/07/Guidelines-Political-processing-personal-data.pdf,N,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/malta-national-gdpr-implementation-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Malta,Guidelines for the promotion of good practice in the processing of personal data by credit referencing institutions,[Not Applicable],Malta (Guidelines for the promotion of good practice in the processing of personal data by credit referencing institutions).txt,In Effect,Malta,Malta,[Not Applicable],2001,2001,[None],ICCPR+OP; EU(M); CoE108,EU; CoE,English,https://idpc.org.mt/wp-content/uploads/2020/07/CRA_Guidelines-Credit-Referencing.pdf,N,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/malta-national-gdpr-implementation-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Mauritania,Loi 2017-020 sur la protection des donn√©es √† caract√®re personnel,Law 2017-020 on the protection of personal data,Mauritania (Loi 2017-020 sur la protection des données à caractère personnel).txt,In Effect,Mauritania,Mauritania,Both,2016,2016,2016,ICCPR; AU Conv(S); ECOWAS Ac,AU; ECOWAS (A),French,http://tic.gov.mr/IMG/pdf/imp1fr-2.pdf,Y,[None],Non-Government Machine,Greenleaf 2019,gpi-corpus/laws/plain text files/english text files/english translated text files,4/12/21,4/12/21,[Not Applicable],
Mauritius,Data Protection Act 2004,[Not Applicable],Mauritius (Data Protection Act 2004).txt,Repealed,Mauritius,Mauritius,Both,2004,2004,2004,ICCPR+OP; CoE108(RP); AU Conv(R),AU; SADC,English,https://www.wipo.int/edocs/lexdocs/laws/en/mu/mu011en.pdf,N,[Not Applicable],[Not Applicable],https://www.dataguidance.com/jurisdiction/mauritius,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Mauritius,Data Protection Act 2017,[Not Applicable],Mauritius (Data Protection Act 2017).txt,In Effect,Mauritius,Mauritius,Both,2004,2017,2017,ICCPR+OP; CoE108(RP); AU Conv(R),AU; SADC,English,https://mauritiusassembly.govmu.org/Documents/Acts/2017/act2017.pdf,Y,[Not Applicable],[Not Applicable],Greenleaf 2019,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Mauritius,Introductory Guide to the Data Protection Act 2017,[Not Applicable],Mauritius (Introductory Guide to the Data Protection Act 2017).txt,In Effect,Mauritius,Mauritius,[Not Applicable],2017,2017,[None],ICCPR+OP; CoE108(RP); AU Conv(R),AU; SADC,English,https://dataprotection.govmu.org/Pages/Downloads/Publications%20and%20Guidelines/Guidelines.pdf,Y,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/mauritius-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/28/21,6/28/21,[Not Applicable],
Mauritius,Guide on Data Protection for Health Data and Artificial Intelligence Solutions in the context of the COVID-19 Pandemic,[Not Applicable],Mauritius (Guide on Data Protection for Health Data and Artificial Intelligence Solutions in the context of the COVID-19 Pandemic).txt,In Effect,Mauritius,Mauritius,[Not Applicable],2020,2020,[None],ICCPR+OP; CoE108(RP); AU Conv(R),AU; SADC,English,https://dataprotection.govmu.org/Communique/Guide%20on%20Data%20Protection%20for%20health%20data%20and%20AI.pdf,Y,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/mauritius-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/28/21,6/28/21,[Not Applicable],
Mexico,Federal Law on the Protection of Personal Data Held by Private Parties 2010,[Not Applicable],Mexico (Federal Law on the Protection of Personal Data Held by Private Parties 2010).txt,In Effect,Mexico,Mexico,Provate,2010,2010,2010,ICCPR+OP; COE108(RP;) CBPRs(S); CPTPP(R),APEC; OECD; NAFTA,English,http://inicio.inai.org.mx/English/1%20Data%20Protection%20Law.pdf,N,[Not Applicable],[Not Applicable],https://www.dataguidance.com/jurisdiction/mexico,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Mexico,Regulations to the Federal Law on the Protection of Personal Data Held by Private Parties (2011),[Not Applicable],Mexico (Regulations to the Federal Law on the Protection of Personal Data Held by Private Parties (2011)).txt,In Effect,Mexico,Mexico,[Not Applicable],2010,2011,2011,ICCPR+OP; COE108(RP;) CBPRs(S); CPTPP(R),APEC; OECD; NAFTA,English,http://inicio.inai.org.mx/English/2%20Regulations%20to%20the%20FLPPDHPP.pdf,N,[Not Applicable],[Not Applicable],https://www.dataguidance.com/jurisdiction/mexico,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Mexico,El ABC de Aviso de Privacidad,National Institute for Access to Information and Protection of Personal Data (INAI) Guidelines on Privacy Notices,Mexico (El ABC de Aviso de Privacidad).txt,In Effect,Mexico,Mexico,[Not Applicable],2010,2012,2012,ICCPR+OP; COE108(RP;) CBPRs(S); CPTPP(R),APEC; OECD; NAFTA,Spanish,http://abcavisosprivacidad.ifai.org.mx/,N,[None],Non-Government Machine,https://www.dataguidance.com/jurisdiction/mexico,gpi-corpus/laws/plain text files/english text files/english translated text files,4/12/21,4/12/21,[Not Applicable],
Mexico,Ley General de Protecci√≥n de Datos Personales en Posesi√≥n de Sujetos Obligados,General Law on Protection of Personal Data Held by Mandated Parties,Mexico (Ley General de Protección de Datos Personales en Posesión de Sujetos Obligados).txt,In Effect,Mexico,Mexico,Public,2010,2017,2017,ICCPR+OP; COE108(RP;) CBPRs(S); CPTPP(R),APEC; OECD; NAFTA,Spanish,http://www.diputados.gob.mx/LeyesBiblio/pdf/LGPDPPSO.pdf,Y,[None],Non-Government Machine,Greenleaf 2019,gpi-corpus/laws/plain text files/english text files/english translated text files,4/12/21,4/12/21,[Not Applicable],
Moldova,Law of 8 July 2011 No. 133 on Personal Data Protection,[Not Applicable],Moldova (Law of 8 July 2011 No. 133 on Personal Data Protection).txt,In Effect,Moldova,Moldova,[Not Applicable],2007,2011,[None],ICCPR; CoE10(RP),CoE,English,https://www.legislationline.org/download/id/5543/file/Moldova_Data%20Protection%20Law_2011_en.pdf,N,[Not Applicable],[Not Applicable],Greenleaf 2019,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,Transposes directive 95/46/EC,
Moldova,Government Resolution No. 1123 of 14 December 2010 approving the Requirements for the Assurance of Personal Data Security and their Processing within the Information Systems of Personal Data,[Not Applicable],Moldova (Government Resolution No. 1123 of 14 December 2010 approving the Requirements for the Assurance of Personal Data Security and their Processing within the Information Systems of Personal Data).txt,In Effect,Moldova,Moldova,[Not Applicable],2007,2010,[None],ICCPR; CoE10(RP),CoE,English,http://old.datepersonale.md/file/hotariri/cerinte_securitate%20eng_101228.pdf,Y,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/moldova-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Moldova,"Law No. 182-XVI of 10 July 2008 regarding the Approval of the Regulation of the National Center for Personal Data Protection Structure, Staff Limit, and Financial Arrangements",[Not Applicable],"Moldova (Law No. 182-XVI of 10 July 2008 regarding the Approval of the Regulation of the National Center for Personal Data Protection Structure, Staff Limit, and Financial Arrangements).txt",In Effect,Moldova,Moldova,[Not Applicable],2007,2008,2011,ICCPR; CoE10(RP),CoE,English,https://www.dataguidance.com/legal-research/law-no-182-xvi-10-july-2008-regarding,N,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/moldova-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Moldova,HOTƒÇR√éRE Nr. 296 din 15.05.2012 privind aprobarea Regulamentului Registrului de eviden≈£ƒÉ a operatorilor de date cu caracter personal,Government Decision No. 296 of 15 May 2012 approving the Regulation of the Register of Evidence of Personal Data Controllers,Moldova (HOTĂRÎRE Nr. 296 din 15.05.2012 privind aprobarea Regulamentului Registrului de evidenţă a operatorilor de date cu caracter personal).txt,In Effect,Moldova,Moldova,[Not Applicable],2007,2012,[None],ICCPR; CoE10(RP),CoE,Romanian,http://lex.justice.md/viewdoc.php?action=view&view=doc&id=343273&lang=1,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/moldova-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/7/21,6/7/21,[Not Applicable],
Moldova,DECIZIA nr. 176 privind stabilirea cazurilor in care nu este necesari autorizarea transmiterii transfrontaliere a datelor cu caracter personal,National Center for Personal Data Protection Decision No. 581 of 10 September 2015 on Determination of Cases in which Cross-Border Transfer of Personal Data May Be Performed Without Authorisation,Moldova (DECIZIA nr. 176 privind stabilirea cazurilor in care nu este necesari autorizarea transmiterii transfrontaliere a datelor cu caracter personal).txt,In Effect,Moldova,Moldova,[Not Applicable],2007,2015,[None],ICCPR; CoE10(RP),CoE,Romanian,http://datepersonale.md/wp-content/uploads/2020/01/scan1.pdf,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/moldova-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/7/21,6/7/21,[Not Applicable],
Moldova,ORDIN nr. 03 Cu privire la aprobarea Instructiunilor privind prelucrarea datelor cu caracter personal in sectuorul educational,Instructions on the Processing of Personal Data in the Education Sector (Order No. 03 of 21 January 2015),Moldova (ORDIN nr. 03 Cu privire la aprobarea Instructiunilor privind prelucrarea datelor cu caracter personal in sectuorul educational).txt,In Effect,Moldova,Moldova,[Not Applicable],2007,2015,[None],ICCPR; CoE10(RP),CoE,Romanian,http://datepersonale.md/wp-content/uploads/2020/01/instructiuni_educatie.pdf,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/moldova-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/7/21,6/7/21,[Not Applicable],
Moldova,INSTRUCTIUNI in legatura eu preluerarea datelor cu caracter personal privind de sanatate,Instructions on the Processing of Personal Data on Health Status,Moldova (INSTRUCTIUNI in legatura eu preluerarea datelor cu caracter personal privind de sanatate).txt,In Effect,Moldova,Moldova,[Not Applicable],2007,2007,[None],ICCPR; CoE10(RP),CoE,Romanian,http://datepersonale.md/wp-content/uploads/2020/01/INSTRUCTIUNI-HELTH.pdf,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/moldova-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/7/21,6/7/21,[Not Applicable],
Moldova,Contravention Code of the Republic of Moldova No. 218-XVI of 24 October 2008,[Not Applicable],Moldova (Contravention Code of the Republic of Moldova No. 218-XVI of 24 October 2008).txt,In Effect,Moldova,Moldova,[Not Applicable],2007,2008,[None],ICCPR; CoE10(RP),CoE,English,https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/86500/97673/F144678591/MDA86500.pdf,N,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/moldova-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Moldova,Criminal Code of the Republic of Moldova (No. 985-XV of 18 April 2002),[Not Applicable],Moldova (Criminal Code of the Republic of Moldova (No. 985-XV of 18 April 2002)).txt,In Effect,Moldova,Moldova,[Not Applicable],2007,2002,[None],ICCPR; CoE10(RP),CoE,English,https://www.legislationline.org/download/id/3559/file/Criminal%20Code%20RM.pdf,N,[Not Applicable],[Not Applicable],https://www.dataguidance.com/notes/moldova-data-protection-overview,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Moldova,ORDIN nr. 03/1 Cu privire la aprobarea Instruc≈£iunilor privind prelucrarea datelor cu caracter personal √Æn procesul electoral,Instructions regarding the processing of personal data in the electoral process.,Moldova (ORDIN nr. 03_1 Cu privire la aprobarea Instrucţiunilor privind prelucrarea datelor cu caracter personal în procesul electoral).txt,In Effect,Moldova,Moldova,[Not Applicable],2007,2013,[None],ICCPR; CoE10(RP),CoE,Romanian,http://datepersonale.md/wp-content/uploads/2020/01/ORDIN-nr21.pdf,Y,[None],Non-Government Machine,https://datepersonale.md/legislation/ncpdp-decisions-instructions/adopted/,gpi-corpus/laws/plain text files/english text files/english translated text files,6/7/21,6/7/21,[Not Applicable],
Moldova,ORDIN nr. Cu privire la aprobarea Instruc≈£iunilor privind preluerarea datelor cu caracter personal √Æn sectorul poli≈£ienesc,Instructions on the processing of personal data in the police sector.,Moldova (ORDIN nr. Cu privire la aprobarea Instrucţiunilor privind preluerarea datelor cu caracter personal în sectorul poliţienesc).txt,In Effect,Moldova,Moldova,[Not Applicable],2007,2013,[None],ICCPR; CoE10(RP),CoE,Romanian,http://datepersonale.md/wp-content/uploads/2020/01/instructiune-20130712.pdf,Y,[None],Non-Government Machine,https://datepersonale.md/legislation/ncpdp-decisions-instructions/adopted/,gpi-corpus/laws/plain text files/english text files/english translated text files,6/7/21,6/7/21,[Not Applicable],
Moldova,DECIZIE Nr. 581 din 10.09.2015 cu privire la aprobarea formularului tipizat de informare privind efectuarea supravegherii prin mijloace video,Decision on the approval of the standardized information form regarding the surveillance by video means.,Moldova (DECIZIE Nr. 581 din  10.09.2015 cu privire la aprobarea formularului tipizat de informare privind efectuarea supravegherii prin mijloace video).txt,In Effect,Moldova,Moldova,[Not Applicable],2007,2015,[None],ICCPR; CoE10(RP),CoE,Romanian,http://lex.justice.md/viewdoc.php?action=view&view=doc&id=361026&lang=1,Y,[None],Non-Government Machine,https://datepersonale.md/legislation/ncpdp-decisions-instructions/adopted/,gpi-corpus/laws/plain text files/english text files/english translated text files,6/7/21,6/7/21,[Not Applicable],
Moldova,DECIZIA nr. 73 . privind √Æncetarea opera≈£iunilor de dezvƒÉluire neautorizatƒÉ a datelor cu caracter personal efectuate de cƒÉtre gestionarii fondurilor locative,Decision on the cessation of the operations of unauthorized disclosure of personal data carried out by the managers of the housing funds.,Moldova (DECIZIA nr. 73 . privind încetarea operaţiunilor de dezvăluire neautorizată a datelor cu caracter personal efectuate de către gestionarii fondurilor locative).txt,In Effect,Moldova,Moldova,[Not Applicable],2007,2017,[None],ICCPR; CoE10(RP),CoE,Romanian,http://datepersonale.md/wp-content/uploads/2020/01/Decizie-incetare-CCL_RO.pdf,Y,[None],Non-Government Machine,https://datepersonale.md/legislation/ncpdp-decisions-instructions/adopted/,gpi-corpus/laws/plain text files/english text files/english translated text files,6/7/21,6/7/21,[Not Applicable],
Moldova,DECIZIE privind √Æncetarea opera≈£iunilor de prelucrarea datelor cu caracter personal,"Decision on the cessation of personal data processing operations through the Common Object Interface technology, regarding certain categories of personal data subjects, performed by the authorized users of the Forensic and Criminological Information Register.",Moldova (DECIZIE privind încetarea operaţiunilor de prelucrarea datelor cu caracter personal).txt,In Effect,Moldova,Moldova,[Not Applicable],2007,2014,[None],ICCPR; CoE10(RP),CoE,Romanian,http://datepersonale.md/wp-content/uploads/2020/01/Decizie-Mai.pdf,Y,[None],Non-Government Machine,https://datepersonale.md/legislation/ncpdp-decisions-instructions/adopted/,gpi-corpus/laws/plain text files/english text files/english translated text files,6/7/21,6/7/21,[Not Applicable],
Moldova,DECIZIE privind √Æncetarea opera»õiunilor de prelucrare a datelor cu caracter personal decembrie 2014,"The decision on the cessation by political parties of personal data processing operations targeting subjects who are not members of these parties, except in situations based on the existence of the consent of the subject of personal data.","Moldova (The decision on the cessation by political parties of personal data processing operations targeting subjects who are not members of these parties, except in situations based on the existence of the consent of the subject of personal data).txt",In Effect,Moldova,Moldova,[Not Applicable],2007,2007,[None],ICCPR; CoE10(RP),CoE,Romanian,http://datepersonale.md/wp-content/uploads/2020/01/Decizia-incetare.pdf,Y,[None],Non-Government Machine,https://datepersonale.md/legislation/ncpdp-decisions-instructions/adopted/,gpi-corpus/laws/plain text files/english text files/english translated text files,6/7/21,6/7/21,[Not Applicable],
Moldova,"DECIZIE privind incetarea operatiunilor de prelucrare a datelor cu caracter Personal ,27"" februarie","The decision regarding the cessation of the operations of personal data processing of the targeted subjects, in the mediated information obtained fraudulently from the company ‚ÄúStarNet Solu»õii‚Äù SRL by unauthorized third parties.","Moldova (The decision regarding the cessation of the operations of personal data processing of the targeted subjects, in the mediated information obtained fraudulently from the company “StarNet Soluții” SRL by unauthorized third parties.).txt",In Effect,Moldova,Moldova,[Not Applicable],2007,2007,[None],ICCPR; CoE10(RP),CoE,Romanian,http://datepersonale.md/wp-content/uploads/2020/01/decizias.pdf,Y,[None],Non-Government Machine,https://datepersonale.md/legislation/ncpdp-decisions-instructions/adopted/,gpi-corpus/laws/plain text files/english text files/english translated text files,6/7/21,6/7/21,[Not Applicable],
Moldova,"DECIZIE privind incetarea operaliunilor de prelucrare a datelor cu caracter Personal 28"" mai 20l5","The decision on the cessation of personal data processing operations by √é.S. ‚ÄúState Registration Chamber‚Äù manifested by the designation / disclosure of personal data concerning the associations of enterprises - natural persons, in the address of unauthorized third parties, which do not fall within the provisions of art. 4 and art. 5 of the Law on the protection of personal data.",Moldova (The decision on the cessation of personal data processing operations by Î.S. “State Registration Chamber” manifested by the designation _ disclosure of personal data concerning the associations of enterprises - natural persons...).txt,In Effect,Moldova,Moldova,[Not Applicable],2007,2007,[None],ICCPR; CoE10(RP),CoE,Romanian,http://datepersonale.md/wp-content/uploads/2020/01/deciacis.pdf,Y,[None],Non-Government Machine,https://datepersonale.md/legislation/ncpdp-decisions-instructions/adopted/,gpi-corpus/laws/plain text files/english text files/english translated text files,6/7/21,6/7/21,[Not Applicable],
Monaco,Act controlling personal data processing,[Not Applicable],Monaco (Act controlling personal data processing).txt,In Effect,Monaco,Monaco,Both,1993,1993,2015,ICCPR+OP; CoE(RP),CoE,English,https://www.ccin.mc/images/documents/act-1165-on-the-protection-of-personal-data.pdf,Y,[Not Applicable],[Not Applicable],Greenleaf 2019,gpi-corpus/laws/plain text files/english text files/original english text files,6/7/21,6/7/21,[Not Applicable],
Mongolia,–ú–û–ù–ì–û–õ –£–õ–°–´–ù –•–£–£–õ–¨ –•–£–í–¨ –•“Æ–ù–ò–ô –ù–£–£–¶–´–ù –¢–£–•–ê–ô,Law of Mongolia on Personal Secrets 1995,Mongolia (Law of Mongolia on Personal Secrets 1995).txt,In Effect,Mongolia,Mongolia,[Not Applicable],1995,1995,[None],[Not Applicable],[Not Applicable],Mongolian,https://www.legalinfo.mn/law/details/537,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/mongolia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/28/21,6/28/21,[Not Applicable],
Mongolia,–ë–ê–ô–ì–£–£–õ–õ–ê–ì–´–ù –ù–£–£–¶–´–ù –¢–£–•–ê–ô,Law of Mongolia Organisational Secrets 1995,Mongolia (Law of Mongolia Organisational Secrets 1995).txt,In Effect,Mongolia,Mongolia,[Not Applicable],1995,1995,[None],[Not Applicable],[Not Applicable],Mongolian,https://www.legalinfo.mn/law/details/102?lawid=102,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/mongolia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/28/21,6/28/21,[Not Applicable],
Mongolia,–ú–û–ù–ì–û–õ –£–õ–°–´–ù –•–£–£–õ–¨ –≠–†“Æ“Æ–ì–ò–ô–ù –•–£–£–õ–¨ /–®–∏–Ω—ç—á–∏–ª—Å—ç–Ω –Ω–∞–π—Ä—É—É–ª–≥–∞/,Criminal Code of Mongolia 2015,Mongolia (Criminal Code of Mongolia 2015).txt,In Effect,Mongolia,Mongolia,[Not Applicable],2015,2015,[None],[Not Applicable],[Not Applicable],Mongolian,https://www.legalinfo.mn/law/details/11634?lawid=11634,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/mongolia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/28/21,6/28/21,[Not Applicable],
Mongolia,–ó”®–†–ß–õ–ò–ô–ù –¢–£–•–ê–ô /–®–∏–Ω—ç—á–∏–ª—Å—ç–Ω –Ω–∞–π—Ä—É—É–ª–≥–∞/,Law of Mongolia on Minor Offences 2017,Mongolia (Law of Mongolia on Minor Offences 2017).txt,In Effect,Mongolia,Mongolia,[Not Applicable],2017,2017,[None],[Not Applicable],[Not Applicable],Mongolian,https://www.legalinfo.mn/law/details/12695?lawid=12695,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/mongolia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/28/21,6/28/21,[Not Applicable],
Mongolia,–ú–û–ù–ì–û–õ –£–õ–°–´–ù –•–£–£–õ–¨ –¢”®–†–ò–ô–ù –ë–û–õ–û–ù –ê–õ–ë–ê–ù–´ –ù–£–£–¶–´–ù –¢–£–•–ê–ô,Law of Mongolia on State and Official Secrets 2016,Mongolia (Law of Mongolia on State and Official Secrets 2016).txt,In Effect,Mongolia,Mongolia,[Not Applicable],2016,2016,[None],[Not Applicable],[Not Applicable],Mongolian,http://legalinfo.mn/law/details/12408?lawid=12408,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/mongolia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/28/21,6/28/21,[Not Applicable],
Mongolia,–•–£–í–¨ –•“Æ–ù–ò–ô –ù–£–£–¶–´–ù –¢–£–•–ê–ô,Civil Code of Mongolia,Mongolia (Civil Code of Mongolia).txt,In Effect,Mongolia,Mongolia,[Not Applicable],2002,2002,[None],[Not Applicable],[Not Applicable],Mongolian,https://www.legalinfo.mn/law/details/537,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/mongolia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/28/21,6/28/21,[Not Applicable],
Mongolia,–ú–û–ù–ì–û–õ –£–õ–°–´–ù –•–£–£–õ–¨ –•–ê–†–ò–õ–¶–ê–ê –•–û–õ–ë–û–û–ù–´ –¢–£–•–ê–ô /–®–∏–Ω—ç—á–∏–ª—Å—ç–Ω –Ω–∞–π—Ä—É—É–ª–≥–∞/,Law of Mongolia on Communications 2001,Mongolia (Law of Mongolia on Communications 2001).txt,In Effect,Mongolia,Mongolia,[Not Applicable],2001,2001,[None],[Not Applicable],[Not Applicable],Mongolian,https://www.legalinfo.mn/law/details/523,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/mongolia-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,6/28/21,6/28/21,[Not Applicable],
Montenegro,Zakon o prikupljanju zdravstvenih podataka (2008),Healthcare Records Act 2008,Montenegro (Healthcare Records Act 2008).txt,In Effect,Montenegro,Montenegro,[Not Applicable],1998,2008,[None],ICCPR+OP; CoE108(RP),CoE,Bosnian,https://mzdravlja.gov.me/ResourceManager/FileDownload.aspx?rid=217629&rType=2&file=Zakon%20o%20zbirkama%20podataka%20u%20oblasti%20zdravstva%20(2008).pdf,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/montenegro-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,,6/7/21,6/7/21,[Not Applicable]
Montenegro,Zakon o za≈°titi genetiƒçkih podataka (2010),Genetic Data Protection Act 2010,Montenegro (Genetic Data Protection Act 2010).txt,In Effect,Montenegro,Montenegro,[Not Applicable],1998,2010,[None],ICCPR+OP; CoE108(RP),CoE,Bosnian,https://mzdravlja.gov.me/ResourceManager/FileDownload.aspx?rid=57566&rType=2&file=ZAKON%20O%20ZA%C5%A0TITI%20GENETI%C4%8CKIH%20PODATAKA%20.pdf,Y,[None],Non-Government Machine,https://www.dataguidance.com/notes/montenegro-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,,6/7/21,6/7/21,[Not Applicable]
Montenegro,Op≈°ti zakon o odgoju i obrazovanju,General Education Act 2002,Montenegro (General Education Act 2002).txt,In Effect,Montenegro,Montenegro,[Not Applicable],1998,2002,[None],ICCPR+OP; CoE108(RP),CoE,Bosnian,https://www.dataguidance.com/notes/montenegro-data-protection-overview,N,[None],Non-Government Machine,https://www.dataguidance.com/notes/montenegro-data-protection-overview,gpi-corpus/laws/plain text files/english text files/english translated text files,4/12/21,4/12/21,[Not Applicable],
